stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/rgb_scene000012_render000000.png,stimuli/rgb_scene000012_render000004.png,0,0,0,45,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000096_render000001.png,stimuli/rgb_scene000096_render000002.png,0,1,1,111,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000004_render000004.png,stimuli/rgb_scene000004_render000005.png,0,2,2,18,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000090_render000003.png,stimuli/rgb_scene000090_render000006.png,0,3,3,80,"[1, 0]",right,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000102_render000000.png,stimuli/rgb_scene000102_render000002.png,0,4,4,127,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000012_render000000.png,stimuli/rgb_scene000012_render000005.png,0,5,5,46,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000146_render000003.png,stimuli/rgb_scene000146_render000006.png,0,6,6,185,"[0, 1]",left,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000096_render000000.png,stimuli/rgb_scene000096_render000005.png,0,7,7,109,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000195_render000000.png,stimuli/rgb_scene000195_render000005.png,0,8,8,193,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000095_render000002.png,stimuli/rgb_scene000095_render000005.png,0,9,9,97,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000102_render000002.png,stimuli/rgb_scene000102_render000003.png,0,10,10,137,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000195_render000001.png,stimuli/rgb_scene000195_render000002.png,0,11,11,195,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000113_render000002.png,stimuli/rgb_scene000113_render000006.png,0,12,12,161,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000090_render000002.png,stimuli/rgb_scene000090_render000005.png,0,13,13,76,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000012_render000004.png,stimuli/rgb_scene000012_render000006.png,0,14,14,61,"[0, 1]",left,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000113_render000004.png,stimuli/rgb_scene000113_render000005.png,0,15,15,165,"[1, 0]",right,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000090_render000002.png,stimuli/rgb_scene000090_render000004.png,0,16,16,75,"[0, 1]",left,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000005_render000000.png,stimuli/rgb_scene000005_render000002.png,0,17,17,22,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000096_render000002.png,stimuli/rgb_scene000096_render000006.png,0,18,18,119,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000004_render000000.png,stimuli/rgb_scene000004_render000001.png,0,19,19,0,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000113_render000002.png,stimuli/rgb_scene000113_render000004.png,0,20,20,159,"[1, 0]",left,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000090_render000004.png,stimuli/rgb_scene000090_render000006.png,0,21,21,82,"[0, 1]",left,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000012_render000003.png,stimuli/rgb_scene000012_render000004.png,0,22,22,57,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000005_render000001.png,stimuli/rgb_scene000005_render000004.png,0,23,23,29,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000090_render000001.png,stimuli/rgb_scene000090_render000002.png,0,24,24,69,"[0, 1]",left,0,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
stimuli/rgb_scene000096_render000005.png,stimuli/rgb_scene000096_render000006.png,0,25,25,125,"[0, 1]",right,1,144,21,f,y,y,2019_May_02_1544,2AFC_task,59.90220318340751,
