stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/rgb_scene000005_render000001.png,stimuli/rgb_scene000005_render000004.png,0,0,0,29,"[0, 1]",left,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000012_render000000.png,stimuli/rgb_scene000012_render000001.png,0,1,1,42,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000004_render000004.png,stimuli/rgb_scene000004_render000006.png,0,2,2,19,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000004_render000001.png,stimuli/rgb_scene000004_render000006.png,0,3,3,10,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000090_render000002.png,stimuli/rgb_scene000090_render000005.png,0,4,4,76,"[0, 1]",left,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000005_render000004.png,stimuli/rgb_scene000005_render000005.png,0,5,5,39,"[0, 1]",left,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000090_render000001.png,stimuli/rgb_scene000090_render000006.png,0,6,6,73,"[1, 0]",right,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000096_render000001.png,stimuli/rgb_scene000096_render000005.png,0,7,7,114,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000102_render000001.png,stimuli/rgb_scene000102_render000003.png,0,8,8,133,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000113_render000002.png,stimuli/rgb_scene000113_render000003.png,0,9,9,158,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000096_render000000.png,stimuli/rgb_scene000096_render000003.png,0,10,10,107,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000195_render000000.png,stimuli/rgb_scene000195_render000004.png,0,11,11,192,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000012_render000000.png,stimuli/rgb_scene000012_render000006.png,0,12,12,47,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000102_render000000.png,stimuli/rgb_scene000102_render000001.png,0,13,13,126,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000005_render000003.png,stimuli/rgb_scene000005_render000005.png,0,14,14,37,"[0, 1]",left,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000113_render000001.png,stimuli/rgb_scene000113_render000002.png,0,15,15,153,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000012_render000002.png,stimuli/rgb_scene000012_render000005.png,0,16,16,55,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000146_render000003.png,stimuli/rgb_scene000146_render000004.png,0,17,17,183,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000090_render000001.png,stimuli/rgb_scene000090_render000004.png,0,18,18,71,"[0, 1]",left,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000004_render000001.png,stimuli/rgb_scene000004_render000003.png,0,19,19,7,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000102_render000001.png,stimuli/rgb_scene000102_render000005.png,0,20,20,135,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000102_render000005.png,stimuli/rgb_scene000102_render000006.png,0,21,21,146,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000005_render000000.png,stimuli/rgb_scene000005_render000006.png,0,22,22,26,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000146_render000000.png,stimuli/rgb_scene000146_render000006.png,0,23,23,173,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000090_render000003.png,stimuli/rgb_scene000090_render000004.png,0,24,24,78,"[1, 0]",right,0,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000012_render000000.png,stimuli/rgb_scene000012_render000005.png,0,25,25,46,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000090_render000000.png,stimuli/rgb_scene000090_render000003.png,0,26,26,65,"[1, 0]",left,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
stimuli/rgb_scene000090_render000001.png,stimuli/rgb_scene000090_render000002.png,0,27,27,69,"[0, 1]",right,1,725,27,f,y,y,2019_Apr_30_1403,2AFC_task,59.9485374177834,
