stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/lamp_bump_01_a.png,stimuli/lamp_bump_01_b.png,0,0,0,20,"[0, 1]",left,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_07_a.png,stimuli/lamp_bump_07_b.png,0,1,1,26,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_01_a.png,stimuli/hdri_bump_01_b.png,0,2,2,0,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_05_a.png,stimuli/lamp_light_05_b.png,0,3,3,34,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_04_a.png,stimuli/lamp_bump_04_b.png,0,4,4,23,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_10_a.png,stimuli/hdri_bump_10_b.png,0,5,5,9,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_03_a.png,stimuli/hdri_light_03_b.png,0,6,6,12,"[0, 1]",left,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_06_a.png,stimuli/lamp_bump_06_b.png,0,7,7,25,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_07_a.png,stimuli/lamp_light_07_b.png,0,8,8,36,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_03_a.png,stimuli/hdri_bump_03_b.png,0,9,9,2,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_04_a.png,stimuli/lamp_light_04_b.png,0,10,10,33,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_04_a.png,stimuli/hdri_bump_04_b.png,0,11,11,3,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_02_a.png,stimuli/hdri_light_02_b.png,0,12,12,11,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_03_a.png,stimuli/lamp_bump_03_b.png,0,13,13,22,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_05_a.png,stimuli/hdri_light_05_b.png,0,14,14,14,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
